Data;20632 - Concessőes de crédito - Pessoas jurídicas - Total - R$ (milhőes)
03/2011;125.022
04/2011;117.618
05/2011;129.405
06/2011;132.130
07/2011;126.754
08/2011;142.386
09/2011;130.645
10/2011;124.212
11/2011;137.630
12/2011;159.451
01/2012;116.230
02/2012;111.611
03/2012;139.145
04/2012;131.809
05/2012;145.295
06/2012;141.554
07/2012;138.465
08/2012;144.480
09/2012;135.395
10/2012;153.143
11/2012;142.492
12/2012;170.949
01/2013;127.202
02/2013;123.975
03/2013;141.873
04/2013;146.857
05/2013;161.430
06/2013;158.939
07/2013;139.441
08/2013;144.479
09/2013;146.550
10/2013;152.806
11/2013;147.856
12/2013;182.483
01/2014;134.191
02/2014;138.129
03/2014;148.677
04/2014;147.282
05/2014;147.222
06/2014;154.176
07/2014;138.134
08/2014;138.502
09/2014;155.267
10/2014;148.079
11/2014;142.273
12/2014;182.798
01/2015;127.678
02/2015;115.139
03/2015;154.414
04/2015;140.356
05/2015;139.693
06/2015;155.781
07/2015;137.705
08/2015;128.850
09/2015;146.433
10/2015;136.004
11/2015;136.284
12/2015;171.971
01/2016;107.005
02/2016;108.863
03/2016;133.022
04/2016;118.963
05/2016;124.728
06/2016;134.026
07/2016;109.760
08/2016;115.250
09/2016;123.879
10/2016;112.895
11/2016;119.709
12/2016;145.139
01/2017;103.319
02/2017;93.563
03/2017;130.131
04/2017;104.394
05/2017;116.359
06/2017;134.835
07/2017;103.482
08/2017;119.164
09/2017;116.090
10/2017;117.530
11/2017;121.881
12/2017;156.212
01/2018;109.916
02/2018;114.247
03/2018;135.803
04/2018;132.459
05/2018;130.953
06/2018;142.293
07/2018;126.784
08/2018;142.999
09/2018;130.191
10/2018;136.620
11/2018;134.463
12/2018;170.266
01/2019;123.927
02/2019;128.877
03/2019;141.651
04/2019;135.292
05/2019;151.259
06/2019;151.511
07/2019;143.206
08/2019;149.955
09/2019;158.531
10/2019;156.063
11/2019;158.561
12/2019;197.761
01/2020;136.708
02/2020;139.105
03/2020;222.571
04/2020;155.083
05/2020;140.475
06/2020;155.954
07/2020;167.514
08/2020;162.733
09/2020;178.663
10/2020;154.617
11/2020;170.908
12/2020;189.332
01/2021;121.829
02/2021;138.130
03/2021;203.288
04/2021;174.289
05/2021;178.908
06/2021;200.050
07/2021;188.009
08/2021;189.119
09/2021;208.980
10/2021;193.726
11/2021;204.947
12/2021;245.602
01/2022;185.222
02/2022;192.269
03/2022;257.694
04/2022;211.320
05/2022;233.602
06/2022;237.140
07/2022;217.282
08/2022;244.403
09/2022;245.648
10/2022;218.462
11/2022;224.927
12/2022;268.687
01/2023;202.203
02/2023;185.443
03/2023;247.404
04/2023;189.839
05/2023;225.144
06/2023;243.783
07/2023;208.126
08/2023;234.823
09/2023;247.084
10/2023;229.326
11/2023;236.000
12/2023;287.189
01/2024;219.908
02/2024;214.316
03/2024;264.161
04/2024;247.447
05/2024;245.576
06/2024;279.981
07/2024;268.458
08/2024;279.912
09/2024;291.087
10/2024;290.617
11/2024;277.459
12/2024;339.960
01/2025;253.599
02/2025;262.333
03/2025;282.606
04/2025;295.331
05/2025;299.987
06/2025;291.105
07/2025;284.457
08/2025;275.921
09/2025;321.536
10/2025;298.222
11/2025;273.962
12/2025;396.435
01/2026;284.929
02/2026;272.223
03/2026;343.148
04/2026;314.330
Fonte;BCB-DSTAT
