Data;20786 - Spread médio das operaçőes de crédito com recursos livres - Total - p.p.
03/2011;25,93
04/2011;26,62
05/2011;26,46
06/2011;26,34
07/2011;26,54
08/2011;26,11
09/2011;27,01
10/2011;27,70
11/2011;27,20
12/2011;25,20
01/2012;26,46
02/2012;27,28
03/2012;27,04
04/2012;26,49
05/2012;24,84
06/2012;24,06
07/2012;23,83
08/2012;23,24
09/2012;23,07
10/2012;22,67
11/2012;22,54
12/2012;21,26
01/2013;21,95
02/2013;22,29
03/2013;21,61
04/2013;21,71
05/2013;21,34
06/2013;20,62
07/2013;21,36
08/2013;21,36
09/2013;21,40
10/2013;21,91
11/2013;21,84
12/2013;21,13
01/2014;22,44
02/2014;23,68
03/2014;23,82
04/2014;23,81
05/2014;24,23
06/2014;24,71
07/2014;25,15
08/2014;25,16
09/2014;24,55
10/2014;25,47
11/2014;25,47
12/2014;24,61
01/2015;26,54
02/2015;27,46
03/2015;27,21
04/2015;28,41
05/2015;29,09
06/2015;29,75
07/2015;30,67
08/2015;31,05
09/2015;30,89
10/2015;32,00
11/2015;32,66
12/2015;31,08
01/2016;33,62
02/2016;35,15
03/2016;36,44
04/2016;38,05
05/2016;38,50
06/2016;38,36
07/2016;39,21
08/2016;39,71
09/2016;40,22
10/2016;41,18
11/2016;40,84
12/2016;39,12
01/2017;40,94
02/2017;41,55
03/2017;41,03
04/2017;38,37
05/2017;35,95
06/2017;35,59
07/2017;37,28
08/2017;36,68
09/2017;34,53
10/2017;34,89
11/2017;34,13
12/2017;31,56
01/2018;32,57
02/2018;33,60
03/2018;33,28
04/2018;32,90
05/2018;30,61
06/2018;28,96
07/2018;28,98
08/2018;28,44
09/2018;28,22
10/2018;29,25
11/2018;29,52
12/2018;27,38
01/2019;29,65
02/2019;30,62
03/2019;30,89
04/2019;30,83
05/2019;30,47
06/2019;30,79
07/2019;31,02
08/2019;30,85
09/2019;29,90
10/2019;29,58
11/2019;29,95
12/2019;27,76
01/2020;28,32
02/2020;28,85
03/2020;27,55
04/2020;25,81
05/2020;24,56
06/2020;22,96
07/2020;22,53
08/2020;21,82
09/2020;20,80
10/2020;21,08
11/2020;20,64
12/2020;20,44
01/2021;22,90
02/2021;22,46
03/2021;21,85
04/2021;22,10
05/2021;21,23
06/2021;21,06
07/2021;21,16
08/2021;21,03
09/2021;21,07
10/2021;22,20
11/2021;22,52
12/2021;23,14
01/2022;24,10
02/2022;24,91
03/2022;25,15
04/2022;25,36
05/2022;25,35
06/2022;25,93
07/2022;26,90
08/2022;27,67
09/2022;27,75
10/2022;29,57
11/2022;29,47
12/2022;28,07
01/2023;29,53
02/2023;30,45
03/2023;30,59
04/2023;32,05
05/2023;32,13
06/2023;31,89
07/2023;31,77
08/2023;31,54
09/2023;31,23
10/2023;30,50
11/2023;30,70
12/2023;30,04
01/2024;29,80
02/2024;29,84
03/2024;30,05
04/2024;29,44
05/2024;29,08
06/2024;28,70
07/2024;28,53
08/2024;28,57
09/2024;28,32
10/2024;28,26
11/2024;28,46
12/2024;27,16
01/2025;28,42
02/2025;29,84
03/2025;29,68
04/2025;31,02
05/2025;31,87
06/2025;32,11
07/2025;31,81
08/2025;32,17
09/2025;31,86
10/2025;32,51
11/2025;33,90
12/2025;33,07
01/2026;34,32
02/2026;35,15
03/2026;34,64
04/2026;35,95
Fonte;BCB-DSTAT
